sample,SRRid,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_id,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time,condition,create_date,version
sample_35,SRR5364349,8 weeks,RNA-Seq,200,10504875200,PRJNA379959,SAMN06624269,3368566948,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659794,female,GSM2545370,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,14,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545370,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:33:00Z,1
sample_36,SRR5364350,8 weeks,RNA-Seq,200,9633421600,PRJNA379959,SAMN06624268,3090113871,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659795,female,GSM2545371,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,15,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545371,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:37:00Z,1
sample_37,SRR5364351,8 weeks,RNA-Seq,200,10156169400,PRJNA379959,SAMN06624267,3242805704,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659796,male,GSM2545372,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,17,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545372,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:33:00Z,1
sample_38,SRR5364352,8 weeks,RNA-Seq,200,9453566400,PRJNA379959,SAMN06624266,3059803235,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659797,male,GSM2545373,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,18,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545373,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:51:00Z,1
sample_39,SRR5364353,8 weeks,RNA-Seq,200,10867068600,PRJNA379959,SAMN06624265,3470720795,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659798,female,GSM2545374,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,19,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545374,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:36:00Z,1
sample_40,SRR5364354,8 weeks,RNA-Seq,200,9330178600,PRJNA379959,SAMN06624264,3027901988,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659799,female,GSM2545375,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,20,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545375,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:30:00Z,1
sample_41,SRR5364355,8 weeks,RNA-Seq,200,11983356800,PRJNA379959,SAMN06624263,3827209111,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659800,female,GSM2545376,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,21,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545376,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:51:00Z,1
sample_42,SRR5364356,8 weeks,RNA-Seq,200,8823765200,PRJNA379959,SAMN06624305,2817756619,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659801,female,GSM2545377,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,22,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545377,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:30:00Z,1
sample_43,SRR5364357,8 weeks,RNA-Seq,200,8932078600,PRJNA379959,SAMN06624304,2846348644,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659802,male,GSM2545378,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,23,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545378,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:36:00Z,1
sample_44,SRR5364358,8 weeks,RNA-Seq,200,9105536000,PRJNA379959,SAMN06624303,2952802708,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659803,male,GSM2545379,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,24,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545379,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:47:00Z,1
sample_45,SRR5364359,8 weeks,RNA-Seq,200,10951107400,PRJNA379959,SAMN06624302,3465075722,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659804,female,GSM2545380,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,19,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545380,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:57:00Z,1
